"","baseMean","log2FoldChange","lfcSE","pvalue","padj","SYMBOL"
"ENSG00000162241",9.18531262496025,0.094184184453915,0.389589020426662,0.906256063646988,NA,"SLC25A45"
"ENSG00000144362",286.615759872584,0.0941532760620516,0.25176688816176,0.72906491936773,0.966377459480356,"PHOSPHO2"
"ENSG00000054267",5016.28790098878,0.094115900024926,0.159445266581132,0.429162996563524,0.89393030331402,"ARID4B"
"ENSG00000283208",7.67655861556671,0.0941050346673026,0.385840001769222,0.901487513700008,NA,NA
"ENSG00000230992",69.0858303076373,0.0940868936088445,0.249429312478274,0.0644648179133607,0.516538947254878,NA
"ENSG00000105197",2135.75314318117,0.094070143635945,0.163740643066313,0.273947496870941,0.82387452294499,"TIMM50"
"ENSG00000183605",755.056125631323,0.0939194185558244,0.111786785465022,0.0231363343374097,0.342517412380825,"SFXN4"
"ENSG00000108219",9353.08528388903,0.0938134115799226,0.0959665621507369,0.0441459031349232,0.443899529679787,"TSPAN14"
"ENSG00000272800",44.5104466092705,0.0938081393461122,0.264238024406517,0.230877470738474,NA,NA
"ENSG00000130958",293.675765740308,0.0937801103439429,0.231832736527778,0.317708928222561,0.850621740789423,"SLC35D2"
"ENSG00000232953",9.60395178889135,0.0937715481889833,0.373668101704328,0.810100083468528,NA,NA
"ENSG00000256806",913.901563298712,0.0937630232261784,0.157124616074126,0.238846315598473,0.794826808391268,"C17orf100"
"ENSG00000143147",8090.66216961433,0.0936932161092685,0.107860035678045,0.0458399802017783,0.453924947507294,"GPR161"
"ENSG00000260093",56.059066862149,0.0936635220220673,0.310780887154329,0.477149157543542,NA,NA
"ENSG00000165171",10.8939587268011,0.0935412861610136,0.39778204517602,0.123548671130679,NA,"METTL27"
"ENSG00000279589",32.1977321381735,0.0934848401055959,0.29098777985168,0.201334387191977,NA,NA
"ENSG00000204685",537.222206334682,0.0934517430975694,0.184498618983001,0.307324828598467,0.845521617785272,NA
"ENSG00000100416",1437.5809507683,0.0934037418672439,0.139482812251699,0.0264976192393386,0.362356904963396,"TRMU"
"ENSG00000114988",951.974308715154,0.0933788222609263,0.184094504849923,0.19464127045885,0.750150895204006,"LMAN2L"
"ENSG00000159314",106.122690590276,0.0933704239024684,0.361816410338478,0.312899449125824,0.849550694496275,"ARHGAP27"
"ENSG00000261570",25.9658806935211,0.0933413865147739,0.343250732336722,0.640359121306123,NA,NA
"ENSG00000090104",11.8522149363403,0.0933374137968283,0.395191494130566,0.555149514831021,NA,"RGS1"
"ENSG00000131373",499.605950833888,0.093336956514068,0.218601491419678,0.765413862378019,0.973981367817654,"HACL1"
"ENSG00000253320",822.018377182481,0.0932862295731793,0.216081407529451,0.372499783094419,0.877977374724499,NA
"ENSG00000182197",3428.82870104269,0.0932470190754388,0.128798965678714,0.14360261029233,0.68384283807746,"EXT1"
"ENSG00000228035",14.8347780125419,0.0932442738083969,0.360195269849063,0.810071578896575,NA,"NGF-AS1"
"ENSG00000255468",139.276680573574,0.0931729738587032,0.226509375684071,0.0764071800779824,0.553682781159508,"B4GAT1-DT"
"ENSG00000138074",1491.56759864329,0.0931587129199151,0.154957542230998,0.00525477913388472,0.161416679925105,"SLC5A6"
"ENSG00000130684",2275.58939018205,0.0931501157472904,0.0872299343094241,0.580400148306102,0.934439766460061,"ZNF337"
"ENSG00000063169",2905.55229003014,0.0930773869812588,0.179088276491412,0.579493067099832,0.934439766460061,"BICRA"
"ENSG00000223705",141.205094285516,0.093003831589368,0.241452960574375,0.0285788930332809,0.376074339995827,"NSUN5P1"
