"","gene_id","log2_RE_FC","Z_score"
"41471","ENSG00000254112",NA,NA
"41472","ENSG00000254113",NA,NA
"41473","ENSG00000254114",NA,NA
"41474","ENSG00000254115",NA,NA
"41475","ENSG00000254118",NA,NA
"41476","ENSG00000254119",Inf,NA
"41477","ENSG00000254120",NA,NA
"41478","ENSG00000254122",-0.119583699089096,-2.6586751209512
"41479","ENSG00000254123",NA,NA
"41480","ENSG00000254124",NA,NA
"41481","ENSG00000254126",0.350441103541961,2.49752518682824
"41482","ENSG00000254127",NA,NA
"41483","ENSG00000254129",NA,NA
"41484","ENSG00000254130",NA,NA
"41485","ENSG00000254131",NA,NA
"41486","ENSG00000254132",NA,NA
"41487","ENSG00000254134",NA,NA
"41488","ENSG00000254135",Inf,NA
"41489","ENSG00000254136",NA,NA
"41490","ENSG00000254138",NA,NA
"41491","ENSG00000254139",NA,NA
"41492","ENSG00000254141",NA,NA
"41493","ENSG00000254143",NA,NA
"41494","ENSG00000254145",NA,NA
"41495","ENSG00000254146",NA,NA
"41496","ENSG00000254150",NA,NA
"41497","ENSG00000254151",NA,NA
"41498","ENSG00000254152",NA,NA
"41499","ENSG00000254153",NA,NA
"41500","ENSG00000254154",-4.98113603360255,-1.36545511061442
"41501","ENSG00000254156",NA,NA
"41502","ENSG00000254157",NA,NA
"41503","ENSG00000254158",NA,NA
"41504","ENSG00000254160",NA,NA
"41505","ENSG00000254161",NA,NA
"41506","ENSG00000254162",Inf,NA
"41507","ENSG00000254163",NA,NA
"41508","ENSG00000254164",NA,NA
"41509","ENSG00000254165",-2.11277681194154,-0.859396613389031
"41510","ENSG00000254166",-Inf,NA
"41511","ENSG00000254167",NA,NA
"41512","ENSG00000254170",Inf,NA
"41513","ENSG00000254171",NA,NA
"41514","ENSG00000254172",NA,NA
"41515","ENSG00000254174",NA,NA
"41516","ENSG00000254175",NA,NA
"41517","ENSG00000254176",NA,NA
"41518","ENSG00000254177",NA,NA
"41519","ENSG00000254178",-Inf,NA
"41520","ENSG00000254180",0.160908559365053,-1.50457151481982
"41521","ENSG00000254181",NA,NA
"41522","ENSG00000254182",NA,NA
"41523","ENSG00000254183",NA,NA
"41524","ENSG00000254185",NA,NA
"41525","ENSG00000254186",2.84467278159468,4.98316534261166
"41526","ENSG00000254187",Inf,NA
"41527","ENSG00000254189",NA,NA
"41528","ENSG00000254190",NA,NA
"41529","ENSG00000254192",NA,NA
"41530","ENSG00000254193",NA,NA
"41531","ENSG00000254194",NA,NA
"41532","ENSG00000254195",NA,NA
"41533","ENSG00000254197",NA,NA
"41534","ENSG00000254198",NA,NA
"41535","ENSG00000254200",NA,NA
"41536","ENSG00000254201",NA,NA
"41537","ENSG00000254202",-Inf,NA
"41538","ENSG00000254203",NA,NA
"41539","ENSG00000254204",NA,NA
"41540","ENSG00000254205",NA,NA
"41541","ENSG00000254206",-1.13553379649711,-2.39253167988009
"41542","ENSG00000254207",NA,NA
"41543","ENSG00000254208",NA,NA
"41544","ENSG00000254209",NA,NA
"41545","ENSG00000254211",NA,NA
"41546","ENSG00000254212",NA,NA
"41547","ENSG00000254213",0.164251528685933,0.0451326321471663
"41548","ENSG00000254215",NA,NA
"41549","ENSG00000254216",NA,NA
"41550","ENSG00000254219",NA,NA
"41551","ENSG00000254220",NA,NA
"41552","ENSG00000254221",0.283690952170356,-1.33089464991134
"41553","ENSG00000254222",NA,NA
"41554","ENSG00000254224",Inf,NA
"41555","ENSG00000254225",NA,NA
"41556","ENSG00000254226",0.354385578146046,-0.516659832058929
"41557","ENSG00000254227",NA,NA
"41558","ENSG00000254228",NA,NA
"41559","ENSG00000254229",Inf,NA
"41560","ENSG00000254230",NA,NA
"41561","ENSG00000254231",-0.0672789531960471,0.140118205323095
"41562","ENSG00000254233",-0.826260282744106,-0.360950356821193
"41563","ENSG00000254236",NA,NA
"41564","ENSG00000254237",Inf,NA
"41565","ENSG00000254238",-3.01050460884543,-0.889259731838687
"41566","ENSG00000254239",NA,NA
"41567","ENSG00000254240",NA,NA
"41568","ENSG00000254241",NA,NA
"41569","ENSG00000254242",NA,NA
"41570","ENSG00000254244",NA,NA
"41571","ENSG00000254245",0.126825827409254,0.119615649215022
"41572","ENSG00000254246",NA,NA
"41573","ENSG00000254247",NA,NA
"41574","ENSG00000254248",NA,NA
"41575","ENSG00000254249",NA,NA
"41576","ENSG00000254251",NA,NA
"41577","ENSG00000254252",NA,NA
"41578","ENSG00000254253",NA,NA
"41579","ENSG00000254254",-2.17883613042115,0.153453933438683
"41580","ENSG00000254255",NA,NA
"41581","ENSG00000254256",NA,NA
"41582","ENSG00000254258",2.69927697316255,5.08572467538896
"41583","ENSG00000254260",NA,NA
"41584","ENSG00000254261",NA,NA
"41585","ENSG00000254263",NA,NA
"41586","ENSG00000254264",NA,NA
"41587","ENSG00000254265",NA,NA
"41588","ENSG00000254266",-Inf,NA
"41589","ENSG00000254268",NA,NA
"41590","ENSG00000254270",NA,NA
"41591","ENSG00000254271",NA,NA
"41592","ENSG00000254272",-Inf,NA
"41593","ENSG00000254273",0.575792224254107,-0.599093471033708
"41594","ENSG00000254274",NA,NA
"41595","ENSG00000254275",Inf,NA
"41596","ENSG00000254277",NA,NA
"41597","ENSG00000254278",NA,NA
"41598","ENSG00000254279",NA,NA
"41599","ENSG00000254283",NA,NA
"41600","ENSG00000254285",NA,NA
"41601","ENSG00000254287",NA,NA
"41602","ENSG00000254288",NA,NA
"41603","ENSG00000254289",NA,NA
"41604","ENSG00000254290",-Inf,NA
"41605","ENSG00000254291",NA,NA
"41606","ENSG00000254292",NA,NA
"41607","ENSG00000254293",NA,NA
"41608","ENSG00000254294",-Inf,NA
"41609","ENSG00000254295",NA,NA
"41610","ENSG00000254297",NA,NA
"41611","ENSG00000254298",NA,NA
"41612","ENSG00000254299",NA,NA
"41613","ENSG00000254300",NA,NA
"41614","ENSG00000254302",-Inf,NA
"41615","ENSG00000254303",NA,NA
"41616","ENSG00000254305",Inf,NA
"41617","ENSG00000254306",NA,NA
"41618","ENSG00000254307",NA,NA
"41619","ENSG00000254308",NA,NA
"41620","ENSG00000254309",NA,NA
"41621","ENSG00000254310",NA,NA
"41622","ENSG00000254311",NA,NA
"41623","ENSG00000254312",NA,NA
"41624","ENSG00000254313",NA,NA
"41625","ENSG00000254314",NA,NA
"41626","ENSG00000254315",NA,NA
"41627","ENSG00000254316",NA,NA
"41628","ENSG00000254317",NA,NA
"41629","ENSG00000254319",-0.476804414323944,-2.79834911209826
"41630","ENSG00000254320",NA,NA
"41631","ENSG00000254321",NA,NA
"41632","ENSG00000254324",NA,NA
"41633","ENSG00000254325",NA,NA
"41634","ENSG00000254326",NA,NA
"41635","ENSG00000254328",NA,NA
"41636","ENSG00000254329",NA,NA
"41637","ENSG00000254330",NA,NA
"41638","ENSG00000254331",-Inf,-0.707106781186548
"41639","ENSG00000254332",Inf,NA
"41640","ENSG00000254333",NA,NA
"41641","ENSG00000254334",NA,NA
"41642","ENSG00000254336",NA,NA
"41643","ENSG00000254337",NA,NA
"41644","ENSG00000254338",0.159736778074519,-0.825303632486077
"41645","ENSG00000254339",NA,NA
"41646","ENSG00000254340",-4.7417702008498,-0.718553897048049
"41647","ENSG00000254341",NA,NA
"41648","ENSG00000254342",NA,NA
"41649","ENSG00000254343",-1.09511179212041,-0.77257116859765
"41650","ENSG00000254344",NA,NA
"41651","ENSG00000254345",NA,NA
"41652","ENSG00000254346",-Inf,-0.577350269189626
"41653","ENSG00000254347",NA,NA
"41654","ENSG00000254348",-0.327909622055321,-0.276968979943598
"41655","ENSG00000254349",-Inf,-0.577350269189626
