,4_7_IP_S4_L004_R.sf,4_9_IP_S5_L004_R.sf,87_IP_S1_L004_R.sf,90_IP_S2_L004_R.sf,91_IP_S3_L004_R.sf,95_3_IP_S6_L004_R.sf
5_8S_rRNA,NA,NA,NA,NA,NA,NA
5S_rRNA,NA,NA,NA,NA,NA,NA
7SK,NA,NA,NA,NA,NA,NA
ABCA12,0.668617278406796,0.763948551823259,0.921608817552635,0.816238833875634,1.10522697273912,0.501784247968593
ABCA13,0.566780042732741,NA,0.522307577474596,NA,NA,0.661752663731789
ABCA15P,NA,NA,NA,NA,NA,NA
ABCA17P,1.83822642829683,1.01838525334613,4.01619477986632,1.53735633598248,Inf,2.84625768035058
ABCA2,NA,NA,NA,0.461421496861421,NA,NA
ABCA3,0.517053820587301,0.434115281292335,NA,0.586600517153895,0.58191685040686,0.424748421624738
ABCA3P1,NA,NA,NA,NA,NA,NA
ABCA4,NA,NA,NA,NA,NA,NA
ABCA5,NA,NA,NA,NA,NA,NA
ABCA6,NA,NA,NA,NA,NA,NA
ABCA7,NA,NA,NA,NA,NA,NA
ABCA8,NA,NA,NA,NA,NA,NA
ABCA9,NA,0.723141145511861,NA,NA,NA,NA
ABCA9-AS1,NA,NA,NA,NA,NA,NA
ABCB1,0.451568411024506,0.481088886537163,NA,NA,NA,0.423046549190943
ABCB10,1.1000173072906,1.12591352103514,0.967694542653603,0.932840496468799,1.21839523919829,1.15565720683597
ABCB10P1,NA,NA,1.44080534624931,1.20818846901875,1.02724583409374,3.43098365607411
ABCB10P3,2.87469599811683,NA,NA,0.584284393391448,NA,1.39516880955555
ABCB10P4,NA,NA,2.31878776055781,NA,2.28891644364224,NA
ABCB11,NA,NA,NA,NA,NA,NA
ABCB4,NA,NA,1.12032254747343,0.578336883994939,NA,1.06369330914428
ABCB5,NA,Inf,NA,NA,NA,Inf
ABCB6,0.525484136252353,NA,NA,NA,0.467825292428495,0.44143272194062
ABCB7,1.54246817354201,1.94416303844725,1.20037552345541,1.22281761073218,1.28094866451197,0.91094612554757
ABCB8,NA,NA,NA,NA,NA,NA
ABCB9,0.62328857401289,0.776371610485062,0.409544315175197,0.518465962459519,0.539447460442562,0.742251266557561
ABCC1,0.424913035970963,0.470078616413367,NA,0.408495237644488,0.43434239036749,0.421624859586049
ABCC10,0.502991028100345,0.633537413416619,NA,NA,0.411473808818949,0.442223523733337
ABCC11,0.689230404559646,0.573568286185348,0.560800543636353,1.7688270011106,0.644441311553378,1.30076811851427
ABCC12,NA,NA,NA,NA,NA,0.705417123976422
ABCC13,NA,NA,NA,NA,NA,NA
ABCC2,NA,0.542238870753507,NA,NA,0.471391891714361,0.498893202874992
ABCC3,Inf,NA,NA,NA,Inf,2.16954427980506
ABCC4,0.483309830187164,0.542079105583259,NA,0.466911442984452,NA,0.626838623591133
ABCC5,0.432954084662507,NA,NA,NA,0.447649986833777,NA
ABCC5-AS1,NA,NA,NA,NA,NA,NA
ABCC6,4.06191787099052,0.595755081093211,0.728163321407923,1.16450838507926,2.5302957311995,NA
ABCC6P1,1.38694863054058,NA,1.1836178950371,0.589770606747077,0.61771651079534,2.28957020137961
ABCC6P2,1.54679846337551,NA,1.20860071724662,Inf,0.696716509198428,0.448327600165594
ABCC8,NA,NA,NA,NA,NA,NA
ABCC9,NA,NA,0.604361606839001,NA,0.473553412944354,1.29494791520053
ABCD1,0.688154803677304,0.844135826753924,0.58985178999517,0.861842851832351,0.693396968960815,0.788596634019058
