"","gene_id","log2_RE_FC","Z_score","gene_name","gene_biotype"
"4298","TOR1A",0.252386559647144,-8.62816643255719,NA,NA
"4299","UNC5B",0.519747758921325,-8.63027791581205,NA,NA
"4300","ABHD16A",0.429470238551456,-8.63452894412963,NA,NA
"4301","PPP1R14B",0.203024469138707,-8.63461707857827,NA,NA
"4302","KDM1B",-0.306371082593514,-8.63530172013592,NA,NA
"4303","CDKN2D",-0.235471974342725,-8.63661118735557,NA,NA
"4304","MEF2A",-0.332133540633612,-8.64579949812679,NA,NA
"4305","FBXO11",-0.366762407105955,-8.65019456837797,NA,NA
"4306","NAP1L5",-0.385365935058743,-8.65050775883554,NA,NA
"4307","NOL4",-0.223208756913419,-8.65151242551874,NA,NA
"4308","TMTC1",-0.24732172371516,-8.6601335621786,NA,NA
"4309","MUC3A",-0.561707531526118,-8.66299718158364,NA,NA
"4310","PTPN12",-0.354751533170588,-8.6662625715503,NA,NA
"4311","LINC01719",-0.416509538349064,-8.67035061786422,NA,NA
"4312","SOS2",-0.313423956510442,-8.67137967602841,NA,NA
"4313","LAPTM4B",0.40135879955098,-8.67562599953008,NA,NA
"4314","ZNF594",-0.63813704078813,-8.67766641712481,NA,NA
"4315","C18orf54",0.358319221203053,-8.67801911505757,NA,NA
"4316","MED4",-0.323956360364421,-8.68117017209891,NA,NA
"4317","PABPC1L2B",-0.852195922323588,-8.68423377178605,NA,NA
"4318","DERL2",0.229613744546972,-8.68863391678808,NA,NA
"4319","TPT1-AS1",0.30480077658502,-8.69235086953773,NA,NA
"4320","INSM1",0.241651842042009,-8.69618888364311,NA,NA
"4321","AGAP1",-0.280402851571321,-8.70681509790755,NA,NA
"4322","FAM131A",0.288932486892055,-8.71629884187198,NA,NA
"4323","CCDC81",-0.928689506951883,-8.7206515052681,NA,NA
"4324","GAB1",-0.240952132355211,-8.72339659084999,NA,NA
"4325","SLC20A1",0.362794420945172,-8.72714230460285,NA,NA
"4326","PLXNA4",-0.311589409375836,-8.72747614785755,NA,NA
"4327","NUMB",-0.313437785580354,-8.73657905185063,NA,NA
"4328","RNF152",-0.494616946391816,-8.7606817448604,NA,NA
"4329","ZNF490",-0.244607585409754,-8.76399065361324,NA,NA
"4330","CPLX2",-0.25242078528511,-8.77980243189809,NA,NA
"4331","LIN37",-0.259348864994954,-8.78105121152463,NA,NA
"4332","PRMT1",-0.246916214544825,-8.78105475120549,NA,NA
"4333","TRIM2",-0.417572573433233,-8.78313003882213,NA,NA
"4334","ZNF431",-0.263936349618785,-8.78447071649347,NA,NA
"4335","GPX1",0.383055458605863,-8.78965107217231,NA,NA
"4336","NIPSNAP3B",-0.355257822703016,-8.79107819027355,NA,NA
"4337","ZSCAN16-AS1",0.40264911468704,-8.7912298850219,NA,NA
"4338","C17orf113",0.270324648219129,-8.7928842008928,NA,NA
"4339","TMEM147",0.322001491442958,-8.79697837942264,NA,NA
"4340","DISP3",0.445230884351141,-8.79951033822289,NA,NA
"4341","NEGR1",-0.258464844443342,-8.79991931771458,NA,NA
"4342","STRAP",-0.233386218462097,-8.80170681354911,NA,NA
"4343","TCF7L2",-0.306128426822698,-8.80931245468245,NA,NA
"4344","FRS2",-0.210719783402546,-8.81239756991073,NA,NA
"4345","CHN1",-0.22082688669331,-8.81450477592461,NA,NA
"4346","STAU2",-0.463452494900287,-8.82034565390411,NA,NA
"4347","ENSG00000284664",0.283286554705603,-8.82406973515591,NA,"lncRNA"
"4348","KIF5C",-0.418358803350304,-8.829186863005,NA,NA
"4349","SLC25A36",0.234833706470914,-8.83332393690954,NA,NA
"4350","PHF6",-0.288967658233789,-8.83482631090771,NA,NA
"4351","ENSG00000291181",-0.323811392591357,-8.84544870321365,NA,"lncRNA"
"4352","ADAMTS5",-0.223556941575801,-8.84636340470509,NA,NA
"4353","AFMID",0.29192286740505,-8.84816696579818,NA,NA
"4354","ZMYND8",-0.211242005312275,-8.85264500595481,NA,NA
"4355","HSPA9",-0.3581094054983,-8.85862820623097,NA,NA
"4356","BRI3BP",0.29904078861618,-8.87988249822636,NA,NA
"4357","BCL9L",-0.376898340283839,-8.88633344579246,NA,NA
"4358","SNAP25",-0.463856710353789,-8.88727299541452,NA,NA
"4359","ANK1",-0.351285462551272,-8.88790561627739,NA,NA
"4360","MKRN1",-0.301564946754343,-8.88820829160564,NA,NA
"4361","RAB23",-0.257769532331949,-8.89453127836114,NA,NA
"4362","HCN1",-0.357624870058365,-8.8981732571851,NA,NA
"4363","OLFM3",-0.233960866518248,-8.90487802593203,NA,NA
"4364","ATP5PB",-0.201352629971409,-8.90620178349958,NA,NA
"4365","FNBP1L",-0.416114701649727,-8.90701500384367,NA,NA
"4366","LINC02987",-0.247357275807955,-8.91435334828904,NA,NA
"4367","OSBPL6",-0.275323437431998,-8.91907311957056,NA,NA
"4368","CARM1",-0.33403088841742,-8.92019499603696,NA,NA
"4369","ENSG00000280255",-0.304967433000529,-8.92345742597212,NA,"TEC"
"4370","ARHGEF12",-0.416488290325702,-8.92882464987519,NA,NA
"4371","SENP6",-0.283405576685088,-8.92913836049121,NA,NA
"4372","POP5",0.314557197777215,-8.94274940342301,NA,NA
"4373","MSANTD3",-0.299347808942907,-8.94569579850185,NA,NA
"4374","YTHDC1",-0.388378536443176,-8.9476512738544,NA,NA
"4375","SDF4",0.338870906422545,-8.95087324547384,NA,NA
"4376","DDX5",-0.307135824231285,-8.95615433760448,NA,NA
"4377","CD2AP",-0.228512472307034,-8.96289158179864,NA,NA
"4378","ZYG11B",-0.221224990985862,-8.96760842435951,NA,NA
"4379","RAB40B",-0.267982064932035,-8.97109882335944,NA,NA
"4380","NKIRAS2",-0.263610934612816,-8.97288469008557,NA,NA
"4381","COPS2",-0.395508325749013,-8.97325378701723,NA,NA
"4382","CNOT4",-0.427984261637295,-8.97489013591527,NA,NA
"4383","SHC3",-0.200569489560606,-8.98746964497763,NA,NA
"4384","NRBF2",-0.314239323525868,-8.99652469571024,NA,NA
"4385","UBE2N",-0.30025168257153,-9.00679313492152,NA,NA
"4386","NGDN",0.229219692088256,-9.00990730009333,NA,NA
"4387","NDRG3",-0.400641558912296,-9.01151195660827,NA,NA
"4388","GLYR1",-0.35178093543984,-9.01166328105588,NA,NA
"4389","FGD4",-0.526664117434781,-9.0167188436563,NA,NA
"4390","SLC6A1",-0.324510562348961,-9.0181984922702,NA,NA
"4391","C12orf4",-0.241206270236541,-9.0211136122614,NA,NA
